date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:00	334905/334905	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jul%202024%2000:12:59%20GMT	https://www.pedders.com.au/product/pedders-rubber-bush-540017	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/product/pedders-rubber-bush-540017.html	(from )
10:13:00	544/544	---M-Z	200	added ('OK')	text/plain	date:Fri,%2012%20Jul%202024%2000:13:00%20GMT	https://www.pedders.com.au/robots.txt		(from )
10:13:01	297060/297060	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jul%202024%2000:13:01%20GMT	https://www.pedders.com.au/product/https	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/product/https	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:01	289/289	---M--	403	error ('ok')	text/html	date:Fri,%2012%20Jul%202024%2000:13:01%20GMT	https://www.pedders.com.au/product/e,location.href	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/product/e,location.href	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:01	4930/4930	---M-Z	200	added ('OK')	text/css	etag:%226684b602-491%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/mage/calendar.min.css	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/mage/calendar.min.css	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:01	646905/646905	---M-Z	200	added ('OK')	text/css	etag:%226684b621-193c5%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/styles-m.min.css	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/css/styles-m.min.css	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:02	114097/114097	---M-Z	200	added ('OK')	text/css	etag:%226684b608-aa8f%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Customform/css/form-builder.min.css	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Customform/css/form-builder.min.css	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:02	22419/22419	---M-Z	200	added ('OK')	text/css	etag:%226684b608-2b29%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Customform/css/form-render.min.css	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Customform/css/form-render.min.css	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:02	17908/17908	---M-Z	200	added ('OK')	text/css	etag:%226684b60d-12c5%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_LibSwiperJs/vendor/swiper/swiper.min.css	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_LibSwiperJs/vendor/swiper/swiper.min.css	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
10:13:02	10220/10220	---M-Z	200	added ('OK')	text/css	etag:%226684b60f-8f0%22	https://www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Storelocator/vendor/chosen/chosen.min.css	C:/Users/Ayouby%20Workstation/Desktop/Pedders/website/peddersdemo1/www.pedders.com.au/static/version1719973422/frontend/Ose/Responsive/en_AU/Amasty_Storelocator/vendor/chosen/chosen.min.css	(from https://www.pedders.com.au/product/pedders-rubber-bush-540017)
